company_id,equity_capital,reserves,borrowings,total_assets,pros,cons,confidence,rating
ABB,21.0,3500,60,5063,Strong Reserve Base; Low Borrowings; Healthy Fixed Asset Base,Weak Asset Position,85,Good
ADANIENSOL,1201.0,19784,39009,69107,Strong Reserve Base; Healthy Fixed Asset Base; Investment Portfolio Available,High Borrowings; Weak Asset Position,75,Average
ADANIENT,114.0,41782,80427,181768,Strong Reserve Base; Healthy Fixed Asset Base; Investment Portfolio Available,High Borrowings; Weak Asset Position,75,Average
ADANIGREEN,1584.0,8992,67430,98258,Strong Reserve Base; Healthy Fixed Asset Base; Investment Portfolio Available,High Borrowings; Weak Asset Position,75,Average
ADANIPORTS,432.0,56744,50485,126015,Strong Reserve Base; Healthy Fixed Asset Base; Investment Portfolio Available,High Borrowings; Weak Asset Position,75,Average
ADANIPOWER,3857.0,52097,37705,110784,Strong Reserve Base; Healthy Fixed Asset Base; Investment Portfolio Available,High Borrowings; Weak Asset Position,75,Average
AMBUJACEM,493.0,49883,779,76572,Strong Reserve Base; Low Borrowings; Healthy Fixed Asset Base; Investment Portfolio Available,Weak Asset Position,85,Good
APOLLOHOSP,72.0,7429,7371,19548,Strong Reserve Base; Healthy Fixed Asset Base; Investment Portfolio Available,High Borrowings; Weak Asset Position,75,Average
ASIANPAINT,96.0,17928,2516,29474,Strong Reserve Base; Low Borrowings; Healthy Fixed Asset Base; Investment Portfolio Available,Weak Asset Position,85,Good
ATGL,110.0,3801,1457,6842,Strong Reserve Base; Low Borrowings; Healthy Fixed Asset Base; Investment Portfolio Available,Weak Asset Position,85,Good
AXISBANK,617.0,156406,1295302,1518239,Strong Reserve Base; Healthy Fixed Asset Base; Investment Portfolio Available,High Borrowings; Weak Asset Position,75,Average
BAJAJ-AUTO,279.0,30700,5245,45842,Strong Reserve Base; Low Borrowings; Healthy Fixed Asset Base; Investment Portfolio Available,Weak Asset Position,85,Good
BAJAJFINSV,160.0,68165,318675,601195,Strong Reserve Base; Healthy Fixed Asset Base; Investment Portfolio Available,High Borrowings; Weak Asset Position,75,Average
BAJAJHLDNG,111.0,59712,47,72533,Strong Reserve Base; Low Borrowings; Healthy Fixed Asset Base; Investment Portfolio Available,Weak Asset Position,85,Good
BAJFINANCE,124.0,86679,324218,420656,Strong Reserve Base; Healthy Fixed Asset Base; Investment Portfolio Available,High Borrowings; Weak Asset Position,75,Average
BANKBARODA,1036.0,118677,1453761,1654775,Strong Reserve Base; Healthy Fixed Asset Base; Investment Portfolio Available,High Borrowings; Weak Asset Position,75,Average
BEL,11.0,80,78,225,Strong Reserve Base; Healthy Fixed Asset Base; Investment Portfolio Available,High Borrowings; Weak Asset Position,75,Average
BHARTIARTL,2896.0,84202,225541,460982,Strong Reserve Base; Healthy Fixed Asset Base; Investment Portfolio Available,High Borrowings; Weak Asset Position,75,Average
BHEL,696.0,23503,9128,61793,Strong Reserve Base; Low Borrowings; Healthy Fixed Asset Base; Investment Portfolio Available,Weak Asset Position,85,Good
BOSCHLTD,30.0,12708,31,18521,Strong Reserve Base; Low Borrowings; Healthy Fixed Asset Base; Investment Portfolio Available,Weak Asset Position,85,Good
BPCL,4273.0,72835,58880,211226,Strong Reserve Base; Low Borrowings; Healthy Fixed Asset Base; Investment Portfolio Available,Weak Asset Position,85,Good
BRITANNIA,24.0,3186,2754,9467,Strong Reserve Base; Low Borrowings; Healthy Fixed Asset Base; Investment Portfolio Available,Weak Asset Position,85,Good
CANBK,1814.0,90319,1369780,1535018,Strong Reserve Base; Healthy Fixed Asset Base; Investment Portfolio Available,High Borrowings; Weak Asset Position,75,Average
CHOLAFIN,168.0,21243,157943,181945,Strong Reserve Base; Healthy Fixed Asset Base; Investment Portfolio Available,High Borrowings; Weak Asset Position,75,Average
CIPLA,162.0,28201,461,34655,Strong Reserve Base; Low Borrowings; Healthy Fixed Asset Base; Investment Portfolio Available,Weak Asset Position,85,Good
COALINDIA,6163.0,90034,7816,249359,Strong Reserve Base; Low Borrowings; Healthy Fixed Asset Base; Investment Portfolio Available,Weak Asset Position,85,Good
DABUR,177.0,10185,1752,16373,Strong Reserve Base; Low Borrowings; Healthy Fixed Asset Base; Investment Portfolio Available,Weak Asset Position,85,Good
DIVISLAB,53.0,13664,8,15586,Strong Reserve Base; Low Borrowings; Healthy Fixed Asset Base; Investment Portfolio Available,Weak Asset Position,85,Good
DLF,495.0,39732,4290,62579,Strong Reserve Base; Low Borrowings; Healthy Fixed Asset Base; Investment Portfolio Available,Weak Asset Position,85,Good
DMART,651.0,19487,713,23040,Strong Reserve Base; Low Borrowings; Healthy Fixed Asset Base; Investment Portfolio Available,Weak Asset Position,85,Good
DRREDDY,83.0,30666,4854,46728,Strong Reserve Base; Low Borrowings; Healthy Fixed Asset Base; Investment Portfolio Available,Weak Asset Position,85,Good
EICHERMOT,27.0,18952,404,24380,Strong Reserve Base; Low Borrowings; Healthy Fixed Asset Base; Investment Portfolio Available,Weak Asset Position,85,Good
GAIL,6575.0,77234,19632,128989,Strong Reserve Base; Low Borrowings; Healthy Fixed Asset Base; Investment Portfolio Available,Weak Asset Position,85,Good
GODREJCP,102.0,12068,3828,18984,Strong Reserve Base; Low Borrowings; Healthy Fixed Asset Base; Investment Portfolio Available,Weak Asset Position,85,Good
GRASIM,134.0,92784,158159,448454,Strong Reserve Base; Healthy Fixed Asset Base; Investment Portfolio Available,High Borrowings; Weak Asset Position,75,Average
HAL,5.0,202,124,476,Strong Reserve Base; Low Borrowings; Healthy Fixed Asset Base; Investment Portfolio Available,Weak Asset Position,85,Good
HCLTECH,543.0,68332,5791,99763,Strong Reserve Base; Low Borrowings; Healthy Fixed Asset Base; Investment Portfolio Available,Weak Asset Position,85,Good
HAVELLS,63.0,7731,332,12843,Strong Reserve Base; Low Borrowings; Healthy Fixed Asset Base; Investment Portfolio Available,Weak Asset Position,85,Good
HDFCBANK,760.0,455636,3107503,4030194,Strong Reserve Base; Healthy Fixed Asset Base; Investment Portfolio Available,High Borrowings; Weak Asset Position,75,Average
HDFCLIFE,2152.0,13452,950,336755,Strong Reserve Base; Low Borrowings; Healthy Fixed Asset Base; Investment Portfolio Available,Weak Asset Position,85,Good
HEROMOTOCO,40.0,18971,588,29261,Strong Reserve Base; Low Borrowings; Healthy Fixed Asset Base; Investment Portfolio Available,Weak Asset Position,85,Good
HINDALCO,222.0,114954,60959,252264,Strong Reserve Base; Low Borrowings; Healthy Fixed Asset Base; Investment Portfolio Available,Weak Asset Position,85,Good
HINDUNILVR,235.0,50541,1651,80765,Strong Reserve Base; Low Borrowings; Healthy Fixed Asset Base; Investment Portfolio Available,Weak Asset Position,85,Good
ICICIBANK,1405.0,254739,1651008,2364063,Strong Reserve Base; Healthy Fixed Asset Base; Investment Portfolio Available,High Borrowings; Weak Asset Position,75,Average
ICICIGI,495.0,13130,0,68014,Strong Reserve Base; Low Borrowings; Healthy Fixed Asset Base; Investment Portfolio Available,Weak Asset Position,85,Good
ICICIPRULI,1444.0,10130,0,326838,Strong Reserve Base; Low Borrowings; Healthy Fixed Asset Base; Investment Portfolio Available,Weak Asset Position,85,Good
INDIGO,48.0,905,20,1239,Strong Reserve Base; Low Borrowings; Healthy Fixed Asset Base; Investment Portfolio Available,Weak Asset Position,85,Good
INDUSINDBK,778.0,62019,432404,514935,Strong Reserve Base; Healthy Fixed Asset Base; Investment Portfolio Available,High Borrowings; Weak Asset Position,75,Average
INFY,2072.0,88391,8804,141870,Strong Reserve Base; Low Borrowings; Healthy Fixed Asset Base; Investment Portfolio Available,Weak Asset Position,85,Good
IOC,13772.0,167594,163401,510310,Strong Reserve Base; Healthy Fixed Asset Base; Investment Portfolio Available,High Borrowings; Weak Asset Position,75,Average
IRCTC,160.0,3363,42,6800,Strong Reserve Base; Low Borrowings; Healthy Fixed Asset Base; Investment Portfolio Available,Weak Asset Position,85,Good
IRFC,13069.0,38396,403111,494348,Strong Reserve Base; Healthy Fixed Asset Base; Investment Portfolio Available,High Borrowings; Weak Asset Position,75,Average
